EPC_Check_Tag,Zone,VFDs_Must_Stop,VFDs_Keep_Running
NCP1_9_EPC1_CHECKED,MCM11_ZONE_01_01,NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD,NCP1_5_VFD; NCP1_6_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_1_VFD; S02_2_VFD
NCP1_12_EPC1_CHECKED,MCM11_ZONE_01_01,NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD,NCP1_5_VFD; NCP1_6_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_1_VFD; S02_2_VFD
NCP1_12_EPC2_CHECKED,MCM11_ZONE_01_01,NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD,NCP1_5_VFD; NCP1_6_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_1_VFD; S02_2_VFD
NCP1_10_EPC1_CHECKED,MCM11_ZONE_01_01,NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD,NCP1_5_VFD; NCP1_6_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_1_VFD; S02_2_VFD
NCR1_10_EPC1_CHECKED,MCM11_ZONE_02_02,NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD,NCP1_5_VFD; NCP1_6_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_1_VFD; S02_2_VFD
NCR1_11_EPC1_CHECKED,MCM11_ZONE_02_02,NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD,NCP1_5_VFD; NCP1_6_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_1_VFD; S02_2_VFD
NCS1_1_EPC1_CHECKED,MCM11_ZONE_01_01,NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD,NCP1_5_VFD; NCP1_6_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_1_VFD; S02_2_VFD
NCS2_2_EPC1_CHECKED,MCM11_ZONE_01_01,NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD,NCP1_5_VFD; NCP1_6_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_1_VFD; S02_2_VFD
NCS1_4_EPC3_CHECKED,MCM11_ZONE_01_02,NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; S02_1_VFD,NCP1_5_VFD; NCP1_6_VFD; NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_2_VFD
NCS1_4_EPC4_CHECKED,MCM11_ZONE_01_02,NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; S02_1_VFD,NCP1_5_VFD; NCP1_6_VFD; NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_2_VFD
NCS1_6_EPC1_CHECKED,MCM11_ZONE_01_02,NCS1_3_VFD; NCS1_4_VFD; NCS1_5_VFD; NCS1_6_VFD; S02_1_VFD,NCP1_5_VFD; NCP1_6_VFD; NCP1_7_VFD; NCP1_8_VFD; NCP1_9_VFD; NCP1_10_VFD; NCP1_11A_VFD; NCP1_11B_VFD; NCP1_12_VFD; NCP1_13A_VFD; NCP1_13B_VFD; NCP1_13C_VFD; NCP1_13D_VFD; NCP1_14_VFD; NCP1_15_VFD; NCP1_18_VFD; NCR1_2_VFD; NCR1_3_VFD; NCR1_4_VFD; NCR1_5_VFD; NCR1_6A_VFD; NCR1_6B_VFD; NCR1_7_VFD; NCR1_8_VFD; NCR1_9_VFD; NCR1_10_VFD; NCR1_11_VFD; NCS1_1_VFD; NCS1_2_VFD; NCS2_1_VFD; NCS2_2_VFD; NCS2_3_VFD; NCS2_4_VFD; NCS2_5_VFD; NCS2_6_VFD; NCS2_7A_VFD; NCS2_7B_VFD; NCS2_8_VFD; NCS2_9_VFD; NCS2_10_VFD; NCS2_11_VFD; NCS2_12_VFD; S02_2_VFD
