DPM_Name,DPM_IP,DPM_Fault,Device_Name,Device_IP,Device_Fault,Port,Loop_Order
SLOT2_EN4TR,11.200.1.1,,SLOT2_EN4TR,11.200.1.1,,,1
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,NCR1_2_FIOM1,11.200.1.20,NCR1_2_FIOM1:I.ConnectionFaulted,5,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,NCR1_11_FIOM1,11.200.1.21,NCR1_11_FIOM1:I.ConnectionFaulted,6,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,NCR1_10_LPE1,,NCR1_11_FIOM1_X7.Communication_Faulted,X7,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,PDP05_FIOM1,11.200.1.22,PDP05_FIOM1:I.ConnectionFaulted,7,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,PDP05_FIOH1,,PDP05_FIOM1_X4.Communication_Faulted,X4,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,PDP05_PMM1,11.200.1.23,PDP05_PMM1:I1.ConnectionFaulted,8,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,NCR1_2_VFD,11.200.1.24,NCR1_2_VFD:I.ConnectionFaulted,9,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,NCR1_3_VFD,11.200.1.25,NCR1_3_VFD:I.ConnectionFaulted,10,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,NCR1_4_VFD,11.200.1.26,NCR1_4_VFD:I.ConnectionFaulted,11,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,NCP1_5_VFD,11.200.1.27,NCP1_5_VFD:I.ConnectionFaulted,12,
NCP1_10_DPM1,11.200.1.2,NCP1_10_DPM1:I.ConnectionFaulted,NCR1_5_VFD,11.200.1.28,NCR1_5_VFD:I.ConnectionFaulted,13,
