DPM_Name,DPM_IP,DPM_Fault,Device_Name,Device_IP,Device_Fault,Port,Loop_Order
SLOT2_EN4TR,11.200.1.1,,SLOT2_EN4TR,11.200.1.1,,,1
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,NCP1_2_FIOM1,11.200.1.20,NCP1_2_FIOM1:I.ConnectionFaulted,5,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL23_22_FIOM1,11.200.1.21,UL23_22_FIOM1:I.ConnectionFaulted,6,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_19_FIOM1,11.200.1.22,UL26_19_FIOM1:I.ConnectionFaulted,7,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_22_FIOM1,11.200.1.23,UL26_22_FIOM1:I.ConnectionFaulted,8,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL29_19_FIOM1,11.200.1.24,UL29_19_FIOM1:I.ConnectionFaulted,9,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,NCP1_1_VFD,11.200.1.25,NCP1_1_VFD:I.ConnectionFaulted,10,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_19_VFD,11.200.1.26,UL26_19_VFD:I.ConnectionFaulted,11,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_20_VFD,11.200.1.27,UL26_20_VFD:I.ConnectionFaulted,12,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_21_VFD,11.200.1.28,UL26_21_VFD:I.ConnectionFaulted,13,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_22_VFD,11.200.1.29,UL26_22_VFD:I.ConnectionFaulted,14,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_23_VFD,11.200.1.30,UL26_23_VFD:I.ConnectionFaulted,15,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_24_VFD,11.200.1.31,UL26_24_VFD:I.ConnectionFaulted,16,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL26_25_VFD,11.200.1.32,UL26_25_VFD:I.ConnectionFaulted,17,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL29_19_VFD,11.200.1.33,UL29_19_VFD:I.ConnectionFaulted,18,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL29_20_VFD,11.200.1.34,UL29_20_VFD:I.ConnectionFaulted,19,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL29_21_VFD,11.200.1.35,UL29_21_VFD:I.ConnectionFaulted,20,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL29_22_VFD,11.200.1.36,UL29_22_VFD:I.ConnectionFaulted,21,3
NCP1_1_DPM1,11.200.1.2,NCP1_1_DPM1:I.ConnectionFaulted,UL29_23_VFD,11.200.1.37,UL29_23_VFD:I.ConnectionFaulted,22,3
NCP1_2_DPM1,11.200.1.3,NCP1_2_DPM1:I.ConnectionFaulted,PDP04_FIOM1,11.200.1.44,PDP04_FIOM1:I.ConnectionFaulted,5,4
NCP1_2_DPM1,11.200.1.3,NCP1_2_DPM1:I.ConnectionFaulted,PDP04_PMM1,11.200.1.45,PDP04_PMM1:I.ConnectionFaulted,6,4
NCP1_2_DPM1,11.200.1.3,NCP1_2_DPM1:I.ConnectionFaulted,UL20_19_FIOM1,11.200.1.46,UL20_19_FIOM1:I.ConnectionFaulted,7,4
NCP1_2_DPM1,11.200.1.3,NCP1_2_DPM1:I.ConnectionFaulted,UL23_19_FIOM1,11.200.1.47,UL23_19_FIOM1:I.ConnectionFaulted,8,4
